"","x"
"1",9055
"2",19066
"3",20490
"4",21896
"5",22066
"6",22603
"7",22610
"8",23674
"9",24344
"10",24519
"11",24560
"12",24862
"13",24973
"14",25119
"15",25561
"16",25766
"17",26625
"18",26931
"19",26988
"20",27017
"21",27288
"22",27324
"23",27529
"24",27740
"25",27761
"26",27930
"27",28189
"28",28302
"29",28520
"30",28580
"31",28644
"32",29417
"33",29485
"34",29783
"35",29908
"36",29983
"37",30067
"38",30091
"39",30101
"40",30104
"41",30267
"42",30316
"43",30380
"44",30437
"45",30583
"46",30624
"47",31062
"48",31153
"49",31293
"50",31494
"51",31594
"52",31686
"53",31714
"54",31799
"55",31819
"56",31844
"57",31940
"58",32255
"59",32259
"60",32369
"61",32377
"62",32475
"63",32521
"64",32537
"65",32572
"66",32662
"67",32876
"68",33265
"69",33350
"70",33426
"71",33511
"72",33588
"73",33600
"74",33822
"75",33825
"76",33893
"77",34052
"78",34108
"79",34280
"80",34295
"81",34303
"82",34347
"83",34349
"84",34358
"85",34577
"86",34727
"87",34797
"88",34907
"89",34913
"90",35005
"91",35110
"92",35143
"93",35187
"94",35198
"95",35282
"96",35285
"97",35400
"98",35463
"99",35479
"100",35483
"101",35504
"102",35537
"103",35546
"104",35557
"105",35561
"106",35620
"107",35625
"108",35650
"109",35702
"110",35708
"111",35735
"112",35838
"113",35839
"114",35992
"115",36051
"116",36127
"117",36172
"118",36182
"119",36259
"120",36300
"121",36342
"122",36411
"123",36487
"124",36715
"125",36804
"126",36840
"127",36898
"128",36999
"129",37068
"130",37156
"131",37171
"132",37276
"133",37314
"134",37330
"135",37372
"136",37636
"137",37710
"138",37747
"139",37882
"140",37910
"141",37914
"142",37948
"143",37950
"144",37954
"145",37966
"146",38054
"147",38059
"148",38080
"149",38126
"150",38211
"151",38258
"152",38286
"153",38292
"154",38317
"155",38331
"156",38339
"157",38390
"158",38481
"159",38562
"160",38566
"161",38587
"162",38836
"163",39071
"164",39146
"165",39178
"166",39244
"167",39260
"168",39262
"169",39288
"170",39458
"171",39519
"172",39580
"173",39609
"174",39661
"175",39820
"176",39835
"177",39980
"178",40007
"179",40025
"180",40054
"181",40081
"182",40087
"183",40103
"184",40106
"185",40198
"186",40303
"187",40419
"188",40481
"189",40517
"190",40524
"191",40569
"192",40611
"193",40685
"194",40722
"195",40768
"196",40781
"197",40810
"198",40834
"199",40932
"200",40972
"201",41002
"202",41059
"203",41086
"204",41090
"205",41124
"206",41143
"207",41163
"208",41167
"209",41249
"210",41278
"211",41363
"212",41430
"213",41436
"214",41459
"215",41673
"216",41695
"217",41707
"218",41726
"219",41751
"220",41813
"221",41910
"222",41911
"223",41985
"224",41998
"225",42028
"226",42067
"227",42127
"228",42300
"229",42311
"230",42379
"231",42384
"232",42425
"233",42432
"234",42647
"235",42663
"236",42667
"237",42755
"238",42778
"239",42830
"240",42876
"241",42929
"242",42933
"243",42937
"244",42978
"245",43017
"246",43203
"247",43206
