"","x"
"1",54
"2",67
"3",67
"4",63
"5",63
"6",62
"7",63
"8",63
"9",61
"10",62
"11",63
"12",49
"13",59
"14",59
"15",60
"16",59
"17",65
"18",61
"19",59
"20",58
"21",59
"22",64
"23",61
"24",58
"25",57
"26",58
"27",63
"28",65
"29",58
"30",60
"31",58
"32",56
"33",56
"34",65
"35",57
"36",57
"37",58
"38",56
"39",56
"40",63
"41",55
"42",58
"43",64
"44",62
"45",59
"46",63
"47",55
"48",54
"49",57
"50",56
"51",55
"52",56
"53",56
"54",55
"55",58
"56",58
"57",52
"58",58
"59",57
"60",56
"61",61
"62",56
"63",55
"64",54
"65",53
"66",55
"67",59
"68",56
"69",60
"70",55
"71",57
"72",59
"73",54
"74",59
"75",59
"76",58
"77",54
"78",61
"79",56
"80",54
"81",52
"82",57
"83",62
"84",55
"85",54
"86",56
"87",56
"88",52
"89",54
"90",55
"91",52
"92",56
"93",53
"94",54
"95",56
"96",52
"97",53
"98",59
"99",52
"100",54
"101",51
"102",54
"103",56
"104",53
"105",51
"106",53
"107",51
"108",52
"109",53
"110",56
"111",54
"112",52
"113",52
"114",55
"115",52
"116",52
"117",52
"118",53
"119",54
"120",52
"121",53
"122",50
"123",52
"124",57
"125",51
"126",55
"127",48
"128",50
"129",52
"130",52
"131",54
"132",50
"133",51
"134",45
"135",51
"136",59
"137",51
"138",50
"139",53
"140",51
"141",50
"142",55
"143",48
"144",50
"145",49
"146",50
"147",50
"148",48
"149",52
"150",55
"151",50
"152",51
"153",54
"154",50
"155",50
"156",51
"157",57
"158",50
"159",53
"160",55
"161",48
"162",52
"163",49
"164",52
"165",50
"166",52
"167",52
"168",51
"169",48
"170",58
"171",55
"172",54
"173",50
"174",59
"175",48
"176",51
"177",48
"178",53
"179",51
"180",50
"181",51
"182",62
"183",54
"184",51
"185",49
"186",48
"187",56
"188",53
"189",54
"190",48
"191",55
"192",48
"193",47
"194",54
"195",53
"196",50
"197",51
"198",49
"199",51
"200",53
"201",50
"202",50
"203",51
"204",51
"205",48
"206",50
"207",50
"208",52
"209",48
"210",53
"211",59
"212",56
"213",55
"214",52
"215",50
"216",58
"217",53
"218",50
"219",50
"220",50
"221",49
"222",51
"223",49
"224",49
"225",51
"226",58
"227",49
"228",47
"229",51
"230",49
"231",49
"232",52
"233",52
"234",48
"235",56
"236",50
"237",50
"238",52
"239",48
"240",51
"241",48
"242",47
"243",54
"244",50
"245",47
"246",56
"247",55
"248",47
"249",51
"250",48
"251",49
"252",50
"253",52
"254",48
"255",48
"256",56
"257",51
"258",47
"259",50
"260",56
"261",51
"262",45
"263",52
"264",48
"265",49
"266",50
"267",48
"268",46
"269",57
"270",50
"271",50
"272",57
"273",48
"274",49
"275",46
"276",57
"277",50
"278",50
"279",46
"280",51
"281",48
"282",50
"283",48
"284",48
"285",55
"286",47
"287",58
"288",57
"289",47
"290",49
"291",54
"292",52
"293",48
"294",56
"295",51
"296",46
"297",50
"298",48
"299",48
"300",55
"301",50
"302",49
"303",51
"304",52
"305",45
"306",46
"307",47
"308",48
"309",58
"310",46
"311",47
"312",56
"313",45
"314",52
"315",48
"316",48
"317",54
"318",49
"319",49
"320",46
"321",46
"322",47
"323",55
"324",50
"325",56
"326",45
"327",47
"328",53
"329",50
"330",48
"331",48
"332",52
"333",49
"334",46
"335",48
"336",50
"337",46
"338",50
"339",45
"340",44
"341",50
"342",46
"343",50
"344",44
"345",55
"346",46
"347",49
"348",50
"349",47
"350",45
"351",46
"352",47
"353",54
"354",48
"355",48
"356",47
"357",48
"358",46
"359",47
"360",61
"361",52
"362",49
"363",49
"364",51
"365",46
"366",49
"367",47
"368",50
"369",53
"370",48
"371",44
"372",62
"373",61
"374",57
"375",51
"376",46
"377",45
"378",47
"379",46
"380",49
"381",45
"382",45
"383",47
"384",45
"385",44
"386",46
"387",47
"388",45
"389",49
"390",56
"391",55
"392",46
"393",50
"394",49
"395",51
"396",54
"397",50
"398",45
"399",45
"400",45
"401",48
"402",47
"403",48
"404",51
"405",46
"406",49
"407",52
"408",52
"409",52
"410",50
"411",47
"412",44
"413",47
"414",48
"415",46
"416",47
"417",44
"418",51
"419",44
"420",54
"421",48
"422",44
"423",52
"424",49
"425",45
"426",47
"427",51
"428",49
"429",56
"430",45
"431",47
"432",49
"433",49
"434",51
"435",44
"436",51
"437",48
"438",43
"439",45
"440",44
"441",47
"442",45
"443",49
"444",44
"445",47
"446",53
"447",53
"448",45
"449",55
"450",52
"451",48
"452",52
"453",47
"454",49
"455",51
"456",57
"457",64
"458",47
"459",40
"460",45
"461",44
"462",45
"463",43
"464",50
"465",45
"466",48
"467",52
"468",46
"469",45
"470",44
